temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.04,0.036,0.0
1,-11.589999999999975,-0.910000000000025,0.04,0.045,0.015
2,-23.370000000000005,-2.5500000000000114,0.041,0.043,0.015
3,-35.69,-2.8500000000000227,0.039,0.043,0.015
4,-53.77999999999997,-2.180000000000007,0.036,0.039,0.023
5,-66.07,-3.4399999999999977,0.035,0.038,0.016
6,-78.55999999999997,-4.3700000000000045,0.034,0.039,0.016
7,-88.66,-4.080000000000041,0.036,0.039,0.013
8,-97.48999999999998,-5.020000000000039,0.038,0.041,0.011
9,-105.44999999999999,-4.689999999999998,0.038,0.043,0.01
