temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.022,0.023,0.0
1,-7.680000000000007,3.3700000000000045,0.029,0.03,0.012
2,-20.74000000000001,11.240000000000009,0.041,0.029,0.023
3,-36.359999999999985,18.220000000000027,0.031,0.028,0.024
4,-46.16,22.600000000000023,0.048,0.031,0.016
5,-55.94999999999999,32.80000000000001,0.054,0.032,0.029
6,-65.1,39.01000000000005,0.055,0.03,0.018
7,-72.75,47.450000000000045,0.065,0.036,0.019
8,-81.87,53.69,0.068,0.035,0.024
9,-91.13999999999999,62.450000000000045,0.089,0.042,0.021
