temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.056,0.024,0.0
1,-2.469999999999999,-13.079999999999984,0.066,0.038,0.026
2,-3.3000000000000114,-21.45999999999998,0.07,0.04,0.017
3,-4.180000000000007,-34.76999999999998,0.06,0.038,0.02
4,-4.460000000000008,-44.079999999999984,0.051,0.035,0.013
5,-5.6200000000000045,-50.81,0.038,0.037,0.014
6,-5.6299999999999955,-57.70999999999998,0.036,0.039,0.014
7,-6.349999999999994,-62.73000000000002,0.036,0.038,0.01
8,-4.200000000000017,-67.18,0.038,0.042,0.009
9,-4.969999999999999,-73.17000000000002,0.037,0.042,0.012
