temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.025,0.0
1,8.280000000000001,-7.110000000000014,0.049,0.03,0.012
2,20.789999999999992,-15.590000000000032,0.031,0.027,0.021
3,35.379999999999995,-20.879999999999995,0.03,0.03,0.021
4,47.84,-28.689999999999998,0.034,0.035,0.022
5,57.43000000000001,-33.23000000000002,0.029,0.03,0.015
6,72.25,-39.48000000000002,0.031,0.028,0.022
7,87.11000000000001,-47.19,0.029,0.032,0.024
8,105.56,-55.69,0.038,0.04,0.029
9,111.99000000000001,-57.629999999999995,0.035,0.039,0.009
10,119.21999999999997,-60.78000000000003,0.031,0.03,0.011
