temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.027,0.026,0.0
1,-8.409999999999968,5.279999999999973,0.036,0.03,0.015
2,-16.5,9.779999999999973,0.027,0.029,0.014
3,-25.46999999999997,14.299999999999955,0.036,0.035,0.014
4,-39.14999999999998,20.549999999999955,0.026,0.029,0.021
5,-54.5,29.299999999999955,0.026,0.024,0.033
6,-72.32,41.19999999999999,0.047,0.019,0.035
7,-82.67999999999995,55.47999999999996,0.051,0.024,0.031
8,-99.31999999999996,70.48999999999995,0.052,0.024,0.038
9,-111.95999999999998,84.63,0.05,0.03,0.032
10,-124.14999999999998,97.00999999999999,0.047,0.029,0.029
11,-131.32999999999998,105.06,0.055,0.031,0.018
