temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.039,0.021,0.0
1,-0.21000000000003638,-8.75,0.05,0.027,0.017
2,1.169999999999959,-16.54000000000002,0.055,0.023,0.016
3,0.21999999999997044,-29.78000000000003,0.056,0.031,0.027
4,1.1099999999999568,-41.35000000000002,0.053,0.028,0.023
5,0.23999999999995225,-51.400000000000034,0.046,0.026,0.02
6,2.349999999999966,-67.29000000000002,0.032,0.025,0.019
7,2.9699999999999704,-76.63999999999999,0.021,0.023,0.019
8,1.9799999999999613,-89.13999999999999,0.02,0.02,0.025
9,5.4599999999999795,-98.92000000000002,0.024,0.024,0.02
10,5.659999999999968,-109.88,0.031,0.021,0.028
11,3.829999999999984,-123.90000000000003,0.044,0.018,0.038
12,6.069999999999993,-159.44000000000003,0.062,0.02,0.0
