temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.065,0.025,0.0
1,0.8100000000000023,11.46999999999997,0.054,0.025,0.018
2,-3.0400000000000205,26.819999999999993,0.026,0.025,0.027
3,-1.7800000000000296,36.539999999999964,0.027,0.03,0.019
4,-4.110000000000014,49.00999999999999,0.025,0.024,0.025
5,-4.189999999999998,61.610000000000014,0.027,0.025,0.029
6,-5.07000000000005,74.43,0.04,0.027,0.042
7,-5.160000000000025,92.44999999999999,0.054,0.03,0.036
8,-5.580000000000041,110.12,0.06,0.028,0.035
9,-4.8799999999999955,123.31,0.062,0.03,0.026
10,-5.010000000000048,132.95,0.054,0.03,0.019
