temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.064,0.026,0.0
1,8.110000000000014,-13.590000000000032,0.079,0.034,0.029
2,14.480000000000018,-21.33000000000004,0.083,0.035,0.017
3,24.78,-36.85000000000002,0.086,0.036,0.034
4,34.73000000000002,-55.05000000000001,0.081,0.036,0.037
5,46.670000000000016,-71.62,0.062,0.034,0.019
6,58.84,-78.69999999999999,0.029,0.032,0.021
7,72.06,-87.87,0.029,0.031,0.025
8,83.66,-96.93,0.03,0.033,0.023
9,97.71000000000001,-105.19999999999999,0.035,0.031,0.024
10,107.19000000000003,-114.54000000000002,0.034,0.03,0.022
11,113.84,-117.56,0.028,0.031,0.01
12,119.33000000000001,-121.05000000000001,0.036,0.037,0.01
