temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.024,0.03,0.0
1,9.610000000000014,0.5500000000000114,0.031,0.035,0.012
2,18.960000000000008,2.900000000000034,0.029,0.031,0.013
3,36.93000000000001,5.150000000000034,0.027,0.026,0.023
4,58.620000000000005,7.100000000000023,0.028,0.029,0.027
5,80.98000000000002,10.319999999999993,0.035,0.029,0.029
6,103.25999999999999,12.470000000000027,0.027,0.028,0.028
7,124.19999999999999,13.490000000000009,0.025,0.027,0.026
8,147.64,15.900000000000034,0.025,0.027,0.03
9,170.05,17.110000000000014,0.053,0.026,0.032
10,187.23000000000002,8.420000000000016,0.068,0.028,0.024
