temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.056,0.037,0.0
1,-21.0,-0.6999999999999886,0.048,0.029,0.026
2,-38.89999999999998,-3.7900000000000205,0.049,0.033,0.023
3,-55.48999999999995,-2.269999999999982,0.042,0.027,0.021
4,-74.88999999999999,-3.230000000000018,0.042,0.027,0.024
5,-99.14999999999998,-3.840000000000032,0.037,0.026,0.03
6,-122.14999999999998,-3.8899999999999864,0.04,0.03,0.029
7,-147.51999999999998,-5.650000000000034,0.036,0.029,0.033
8,-168.46999999999997,-6.569999999999993,0.054,0.03,0.033
9,-183.55999999999997,-2.25,0.068,0.037,0.022
