temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.067,0.02,0.0
1,0.13999999999998636,15.159999999999997,0.062,0.024,0.03
2,-0.9900000000000091,29.27000000000001,0.05,0.026,0.016
3,-2.180000000000007,38.58000000000001,0.04,0.028,0.018
4,-3.3799999999999955,49.76000000000002,0.028,0.026,0.022
5,-2.910000000000025,59.650000000000006,0.03,0.029,0.02
6,-3.980000000000018,68.85999999999999,0.027,0.025,0.018
7,-5.560000000000002,78.83000000000001,0.027,0.027,0.02
8,-7.330000000000041,88.69000000000003,0.041,0.025,0.034
9,-6.300000000000011,104.09,0.051,0.028,0.032
10,-4.310000000000002,120.99000000000004,0.059,0.029,0.034
11,-7.240000000000009,133.02,0.055,0.032,0.024
12,-6.689999999999998,141.08,0.064,0.031,0.016
