temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.046,0.022,0.0
1,8.680000000000007,-11.800000000000011,0.069,0.035,0.026
2,21.80000000000001,-21.480000000000018,0.066,0.034,0.026
3,54.88000000000005,-48.620000000000005,0.08,0.034,0.067
4,78.53000000000003,-69.55000000000001,0.069,0.032,0.051
5,101.82000000000005,-91.60000000000002,0.058,0.03,0.053
6,127.69,-111.48000000000002,0.067,0.036,0.051
7,148.12000000000006,-131.51999999999998,0.071,0.033,0.046
8,160.38000000000005,-146.35000000000002,0.074,0.034,0.031
9,166.24000000000007,-151.89,0.074,0.034,0.013
