temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.055,0.028,0.0
1,-13.059999999999945,12.70999999999998,0.074,0.032,0.03
2,-27.980000000000018,26.079999999999984,0.061,0.03,0.033
3,-58.95999999999992,53.18000000000001,0.052,0.03,0.057
4,-84.27999999999997,70.63999999999999,0.062,0.034,0.047
5,-109.22000000000003,86.88,0.062,0.035,0.045
6,-138.48000000000002,94.99000000000001,0.059,0.035,0.04
7,-160.18999999999994,109.94999999999999,0.063,0.035,0.044
8,-183.16999999999996,121.50999999999999,0.067,0.036,0.04
9,-200.04999999999995,133.67000000000002,0.074,0.036,0.032
10,-206.25,138.27999999999997,0.072,0.037,0.012
