temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.121,0.02,0.0
1,8.990000000000009,-30.020000000000003,0.076,0.016,0.0
2,-55.37999999999994,80.13000000000001,0.051,0.019,0.148
3,-8.409999999999968,4.829999999999998,0.103,0.022,0.073
4,-62.38999999999993,98.49,0.063,0.024,0.034
5,-74.01999999999998,113.98,0.056,0.028,0.03
6,-89.53999999999996,133.37,0.06,0.026,0.044
7,-9.259999999999991,12.959999999999994,0.05,0.016,0.0
8,-42.38999999999993,44.349999999999994,0.114,0.041,0.0
9,-106.31999999999994,158.33999999999997,0.051,0.019,0.057
10,-128.48999999999995,181.20999999999998,0.048,0.021,0.053
11,-142.23999999999995,202.16999999999996,0.05,0.025,0.048
12,-154.98999999999995,216.63,0.075,0.029,0.043
13,-160.70999999999998,226.13,0.082,0.023,0.02
