temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.061,0.028,0.0
1,-0.160000000000025,-12.449999999999989,0.085,0.035,0.025
2,-1.6899999999999977,-22.860000000000014,0.074,0.042,0.021
3,-1.7300000000000182,-53.94999999999999,0.08,0.043,0.062
4,-4.410000000000025,-80.41000000000003,0.086,0.034,0.053
5,-5.660000000000025,-108.08000000000004,0.081,0.042,0.054
6,-5.480000000000018,-133.05,0.091,0.04,0.05
7,-7.329999999999984,-155.09000000000003,0.073,0.041,0.044
8,-7.310000000000002,-178.67000000000002,0.071,0.037,0.047
9,-8.259999999999991,-194.65,0.078,0.041,0.032
10,-8.680000000000007,-206.36,0.078,0.039,0.023
