temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.037,0.021,0.0
1,8.870000000000005,-3.7000000000000455,0.039,0.031,0.013
2,20.75,-8.200000000000045,0.036,0.032,0.017
3,30.51000000000002,-12.480000000000018,0.033,0.034,0.015
4,44.849999999999994,-16.79000000000002,0.036,0.031,0.02
5,64.33000000000001,-21.620000000000005,0.032,0.035,0.026
6,84.94000000000003,-30.29000000000002,0.034,0.033,0.031
7,112.07000000000002,-38.110000000000014,0.032,0.032,0.044
8,134.96,-51.99000000000001,0.069,0.03,0.062
9,155.46,-77.81,0.089,0.026,0.058
10,175.37000000000003,-107.79000000000002,0.087,0.03,0.052
11,192.14000000000001,-123.59000000000003,0.066,0.031,0.033
12,205.71,-134.97000000000003,0.049,0.025,0.027
13,214.98,-139.09000000000003,0.059,0.03,0.013
