temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.048,0.022,0.0
1,-100.89999999999998,23.870000000000005,0.033,0.027,0.0
2,-123.57,22.629999999999995,0.02,0.021,0.028
3,-164.28999999999996,21.810000000000002,0.027,0.02,0.0
4,-181.55999999999997,21.779999999999973,0.031,0.029,0.022
5,-195.92999999999998,21.769999999999982,0.026,0.026,0.018
6,-207.91999999999996,21.0,0.023,0.024,0.015
7,-219.99999999999997,19.939999999999998,0.029,0.029,0.015
8,-227.14999999999998,19.939999999999998,0.029,0.033,0.01
9,-241.14999999999998,18.589999999999975,0.021,0.035,0.02
