temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.076,0.024,0.0
1,-16.069999999999993,4.389999999999986,0.068,0.024,0.021
2,-34.01999999999998,9.829999999999984,0.046,0.023,0.023
3,-57.099999999999966,8.309999999999945,0.035,0.026,0.029
4,-97.40999999999997,6.399999999999977,0.029,0.027,0.051
5,-122.99000000000001,4.569999999999993,0.03,0.031,0.032
6,-147.51,1.5599999999999454,0.032,0.026,0.031
7,-170.63,1.2899999999999636,0.028,0.032,0.032
8,-189.58999999999997,-1.0400000000000205,0.035,0.036,0.033
9,-216.75,-3.340000000000032,0.032,0.042,0.034
10,-236.17,-4.78000000000003,0.046,0.035,0.021
11,-250.25,-2.580000000000041,0.051,0.028,0.018
12,-260.88,-0.3900000000000432,0.066,0.031,0.014
