temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.051,0.024,0.0
1,-9.390000000000043,-8.690000000000055,0.07,0.039,0.021
2,-20.930000000000007,-22.32000000000005,0.068,0.038,0.031
3,-32.450000000000045,-37.400000000000034,0.071,0.035,0.033
4,-46.660000000000025,-53.57000000000005,0.064,0.034,0.037
5,-61.620000000000005,-69.34000000000003,0.072,0.041,0.037
6,-77.27000000000004,-91.88000000000005,0.076,0.041,0.049
7,-98.20000000000005,-112.25,0.074,0.036,0.049
8,-117.89000000000004,-137.47000000000003,0.06,0.037,0.042
9,-137.68,-154.13000000000005,0.033,0.033,0.036
10,-150.64000000000004,-161.96000000000004,0.039,0.037,0.023
11,-159.13000000000005,-168.15000000000003,0.035,0.03,0.016
