temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.028,0.0
1,-3.939999999999941,-27.019999999999982,0.073,0.04,0.054
2,-5.189999999999941,-55.15999999999997,0.072,0.039,0.056
3,-9.019999999999982,-83.32999999999998,0.083,0.04,0.056
4,-12.139999999999986,-126.55000000000001,0.074,0.041,0.085
5,-9.769999999999982,-157.21999999999997,0.081,0.041,0.06
6,-12.809999999999945,-184.7,0.071,0.036,0.054
7,-12.709999999999923,-201.65,0.069,0.038,0.034
8,-16.219999999999914,-216.85,0.077,0.038,0.031
9,-15.019999999999982,-225.17,0.073,0.039,0.017
