temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.033,0.016,0.0
1,-15.720000000000027,-9.400000000000034,0.049,0.027,0.027
2,-32.15000000000009,-24.54000000000002,0.058,0.025,0.037
3,-61.56000000000006,-48.03000000000003,0.049,0.028,0.059
4,-85.79000000000008,-69.77000000000004,0.05,0.024,0.053
5,-113.23000000000002,-93.74000000000001,0.056,0.026,0.059
6,-136.1300000000001,-113.31,0.045,0.03,0.047
7,-159.21000000000004,-136.04000000000002,0.06,0.026,0.049
8,-176.34000000000003,-151.15000000000003,0.065,0.029,0.037
9,-190.68000000000006,-159.81000000000003,0.059,0.032,0.025
10,-198.6300000000001,-168.46000000000004,0.064,0.029,0.02
