temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.04,0.023,0.0
1,1.670000000000016,-8.450000000000045,0.068,0.039,0.017
2,0.37999999999999545,-22.510000000000048,0.083,0.039,0.028
3,1.7699999999999818,-51.34000000000003,0.075,0.041,0.057
4,1.329999999999984,-77.0,0.082,0.037,0.051
5,-1.2100000000000364,-104.02000000000004,0.088,0.044,0.053
6,1.3899999999999864,-133.74,0.081,0.04,0.06
7,2.3600000000000136,-158.92000000000002,0.077,0.035,0.05
8,2.4499999999999886,-179.86,0.084,0.04,0.042
9,3.2799999999999727,-196.93000000000004,0.086,0.041,0.034
10,3.269999999999982,-206.60000000000002,0.074,0.04,0.019
