temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.048,0.018,0.0
1,8.68999999999994,12.619999999999976,0.048,0.023,0.027
2,18.730000000000018,25.899999999999977,0.063,0.025,0.029
3,29.68999999999994,39.889999999999986,0.06,0.029,0.033
4,45.83000000000004,60.390000000000015,0.053,0.032,0.047
5,59.17999999999995,76.14000000000001,0.048,0.027,0.036
6,75.83000000000004,99.34,0.045,0.032,0.051
7,91.52999999999997,115.06999999999996,0.057,0.03,0.037
8,103.40999999999997,128.74999999999997,0.049,0.032,0.031
9,116.12,143.34,0.045,0.028,0.034
10,123.43999999999994,149.06999999999996,0.066,0.034,0.015
