temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.027,0.0
1,15.220000000000027,0.8100000000000023,0.054,0.023,0.019
2,36.54000000000002,3.079999999999984,0.057,0.022,0.027
3,62.200000000000045,6.550000000000011,0.059,0.033,0.033
4,87.25,10.109999999999957,0.055,0.03,0.032
5,114.85000000000002,11.240000000000009,0.062,0.03,0.035
6,137.85000000000002,11.180000000000007,0.072,0.037,0.03
7,165.10000000000002,9.779999999999973,0.067,0.032,0.034
8,203.96000000000004,12.089999999999975,0.056,0.028,0.049
9,226.17000000000002,10.039999999999964,0.069,0.028,0.027
10,235.22000000000003,9.039999999999964,0.062,0.035,0.011
