temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.029,0.0
1,0.5300000000000296,-13.609999999999957,0.066,0.034,0.027
2,-0.7399999999999523,-33.91999999999996,0.061,0.036,0.041
3,-3.369999999999976,-65.45999999999998,0.057,0.036,0.037
4,1.2200000000000273,-75.88999999999999,0.038,0.036,0.022
5,2.660000000000025,-88.58999999999997,0.034,0.034,0.025
6,4.5,-107.16999999999996,0.052,0.034,0.037
7,7.140000000000043,-121.13999999999999,0.033,0.034,0.028
8,6.840000000000032,-127.29999999999995,0.028,0.031,0.012
9,9.300000000000011,-132.48999999999995,0.029,0.032,0.011
