temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.08,0.034,0.0
1,5.340000000000003,-9.099999999999966,0.089,0.036,0.019
2,16.980000000000018,-22.70999999999998,0.082,0.037,0.027
3,34.75,-36.48999999999995,0.064,0.029,0.03
4,55.81,-51.22999999999996,0.06,0.03,0.036
5,74.43,-61.92999999999995,0.049,0.027,0.027
6,100.78000000000003,-71.67999999999995,0.038,0.032,0.038
7,121.32999999999998,-80.97999999999996,0.032,0.034,0.032
8,141.82999999999998,-90.0,0.034,0.03,0.031
9,158.36,-97.44,0.046,0.033,0.028
10,173.05,-108.17999999999995,0.076,0.037,0.049
11,181.98000000000002,-123.98999999999995,0.091,0.03,0.034
12,188.07999999999998,-133.09999999999997,0.109,0.032,0.02
13,249.55,-325.40999999999997,0.058,0.019,0.0
