temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.022,0.031,0.0
1,27.909999999999997,16.710000000000036,0.027,0.023,0.0
2,44.56999999999999,25.230000000000018,0.025,0.025,0.027
3,59.85000000000002,33.22000000000003,0.026,0.025,0.025
4,76.39999999999998,41.57000000000005,0.024,0.028,0.027
5,89.38999999999999,51.25,0.033,0.024,0.034
6,104.82,66.77000000000004,0.051,0.02,0.042
7,122.75999999999999,83.65000000000003,0.05,0.025,0.041
8,137.97000000000003,100.90000000000003,0.052,0.026,0.039
9,152.31,118.24000000000001,0.057,0.029,0.039
10,166.14,126.49000000000001,0.06,0.035,0.024
