temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.024,0.022,0.0
1,-10.180000000000007,5.420000000000016,0.024,0.02,0.017
2,-25.789999999999992,11.04000000000002,0.026,0.026,0.023
3,-36.559999999999974,18.55000000000001,0.028,0.028,0.02
4,-52.01999999999998,25.840000000000032,0.028,0.031,0.024
5,-61.41,30.720000000000027,0.032,0.031,0.015
6,-74.44999999999999,37.35000000000002,0.041,0.035,0.027
7,-85.41,43.58000000000004,0.058,0.032,0.029
8,-99.91,58.420000000000016,0.078,0.034,0.036
9,-116.42999999999998,78.98000000000002,0.081,0.032,0.046
10,-130.79999999999998,95.10000000000002,0.098,0.036,0.037
11,-139.80999999999997,107.79000000000002,0.091,0.033,0.028
12,-145.94,117.57,0.097,0.035,0.021
13,-144.94,125.92000000000002,0.057,0.021,0.017
