temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.068,0.02,0.0
1,-46.370000000000005,229.41,0.031,0.026,0.0
2,-46.5,236.29999999999998,0.035,0.034,0.014
3,-51.70999999999998,245.79,0.033,0.033,0.02
4,-52.70999999999998,258.54999999999995,0.032,0.03,0.026
5,-59.139999999999986,274.85,0.038,0.037,0.04
6,-64.82,286.91999999999996,0.052,0.038,0.044
7,-64.22999999999996,305.11,0.063,0.037,0.037
8,-66.82,325.92999999999995,0.068,0.039,0.042
9,-67.60999999999996,343.36,0.064,0.033,0.035
10,-69.19,357.08000000000004,0.067,0.038,0.028
11,-73.06,371.62,0.068,0.038,0.029
