temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.075,0.04,0.0
1,-11.25,-13.430000000000007,0.065,0.026,0.03
2,-37.54000000000002,-28.69999999999999,0.054,0.023,0.045
3,-71.92000000000002,-47.53000000000003,0.034,0.026,0.047
4,-100.91000000000003,-60.19999999999999,0.03,0.026,0.044
5,-121.95000000000002,-69.16000000000003,0.026,0.023,0.032
6,-149.22000000000003,-81.29000000000002,0.03,0.031,0.051
7,-181.35000000000002,-92.62,0.027,0.043,0.051
8,-208.55,-101.81,0.024,0.032,0.039
9,-233.75,-112.25,0.034,0.026,0.032
10,-249.57000000000002,-116.55000000000001,0.046,0.028,0.019
