temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.04,0.034,0.0
1,-9.139999999999986,4.039999999999964,0.032,0.025,0.014
2,-23.120000000000005,7.930000000000007,0.033,0.033,0.019
3,-37.69,13.729999999999961,0.031,0.032,0.022
4,-56.629999999999995,21.21999999999997,0.029,0.028,0.028
5,-78.95999999999998,30.47999999999996,0.035,0.039,0.033
6,-92.36999999999998,36.089999999999975,0.031,0.032,0.02
7,-108.75999999999999,42.589999999999975,0.027,0.029,0.029
8,-125.0,48.70999999999998,0.06,0.035,0.037
9,-141.0,64.57,0.083,0.033,0.039
10,-157.54999999999998,82.40999999999997,0.082,0.031,0.041
11,-167.58999999999997,90.88,0.092,0.031,0.021
