temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.073,0.03,0.0
1,8.030000000000001,-5.529999999999973,0.073,0.026,0.015
2,25.340000000000003,-13.659999999999968,0.043,0.024,0.021
3,46.45999999999998,-15.299999999999955,0.034,0.025,0.025
4,83.92999999999998,-15.099999999999966,0.039,0.029,0.047
5,108.42999999999998,-15.17999999999995,0.036,0.021,0.031
6,135.4,-13.899999999999977,0.042,0.027,0.034
7,173.17,-7.119999999999948,0.048,0.02,0.05
8,190.25999999999996,-9.189999999999998,0.043,0.025,0.022
9,207.36999999999998,-6.699999999999989,0.04,0.026,0.022
10,216.61999999999998,-5.939999999999998,0.057,0.031,0.012
