temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.026,0.023,0.0
1,13.840000000000003,6.229999999999961,0.031,0.033,0.021
2,21.92999999999998,12.699999999999989,0.027,0.026,0.016
3,33.17999999999998,20.16999999999996,0.033,0.034,0.021
4,49.599999999999994,28.549999999999955,0.044,0.036,0.026
5,60.66,37.299999999999955,0.034,0.033,0.022
6,72.35999999999999,46.44999999999999,0.032,0.032,0.023
7,83.56999999999996,54.589999999999975,0.035,0.031,0.021
8,97.77000000000001,63.45999999999998,0.057,0.031,0.031
9,115.77000000000001,83.77999999999997,0.065,0.028,0.053
10,131.9,100.81,0.053,0.027,0.04
11,149.77,118.37,0.052,0.03,0.042
12,167.50999999999996,127.64999999999998,0.087,0.037,0.029
