temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.94,0.413,0.0
1,-150.40999999999997,274.24,0.024,0.036,0.0
2,-138.90999999999997,279.57,0.028,0.03,0.014
3,-124.18999999999997,288.14,0.036,0.031,0.025
4,-100.88999999999999,300.2,0.035,0.036,0.038
5,-76.64999999999998,316.27,0.033,0.035,0.053
6,-42.77999999999997,338.88,0.073,0.035,0.075
7,-15.899999999999977,363.06,0.072,0.034,0.059
8,6.130000000000052,381.94,0.077,0.035,0.047
9,30.350000000000023,404.01,0.079,0.035,0.054
10,51.73000000000002,419.31,0.071,0.038,0.04
11,72.84000000000003,434.61,0.079,0.038,0.04
12,91.90000000000003,445.76,0.083,0.045,0.033
