temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.072,0.023,0.0
1,29.28,-28.120000000000005,0.079,0.034,0.067
2,81.97999999999999,-68.27000000000004,0.064,0.037,0.076
3,146.01000000000002,-98.38,0.038,0.031,0.09
4,193.18999999999997,-114.47000000000003,0.033,0.03,0.081
5,234.13000000000002,-140.37,0.088,0.032,0.106
6,266.13,-187.04000000000002,0.1,0.039,0.073
7,293.22,-205.31,0.077,0.04,0.049
8,309.51,-216.34,0.074,0.04,0.028
9,369.74,-349.05,0.12,0.036,0.0
10,316.48,-222.87,0.069,0.037,0.015
11,335.09000000000003,-354.28000000000003,0.052,0.02,1.041
