temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.04,0.022,0.0
1,-8.960000000000036,-14.799999999999955,0.087,0.035,0.032
2,-2.890000000000043,-90.35999999999996,0.045,0.022,0.0
3,-27.590000000000032,-35.579999999999984,0.071,0.035,0.048
4,-54.620000000000005,-66.75,0.071,0.037,0.071
5,-86.94,-95.28999999999996,0.055,0.03,0.07
6,-111.15000000000003,-127.07999999999998,0.059,0.035,0.049
7,-132.13000000000002,-148.32,0.041,0.043,0.045
8,-155.66000000000003,-165.08999999999997,0.042,0.039,0.045
9,-178.34000000000003,-185.16999999999996,0.036,0.041,0.055
10,-186.50000000000003,-190.56,0.038,0.043,0.018
