temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.093,0.039,0.018
1,145.54000000000002,-150.88,0.053,0.034,0.0
2,127.75999999999999,-137.24,0.032,0.034,0.035
3,97.81,-121.44,0.041,0.037,0.049
4,65.13,-101.43,0.056,0.031,0.079
5,41.889999999999986,-78.5,0.079,0.04,0.057
6,19.939999999999998,-61.00999999999999,0.098,0.048,0.057
7,-3.1599999999999966,-33.74000000000001,0.099,0.046,0.068
8,-22.230000000000018,-9.879999999999995,0.109,0.046,0.053
9,-38.670000000000016,11.370000000000005,0.091,0.043,0.048
10,-50.30000000000001,24.0,0.089,0.045,0.029
