temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.03,0.03,0.0
1,6.8700000000000045,1.9000000000000057,0.037,0.034,0.009
2,17.060000000000002,6.719999999999999,0.035,0.036,0.016
3,24.94999999999999,13.710000000000008,0.036,0.033,0.017
4,38.24000000000001,22.22999999999999,0.044,0.035,0.024
5,53.389999999999986,32.41,0.044,0.04,0.028
6,70.25,42.190000000000026,0.043,0.043,0.029
7,84.69999999999999,53.890000000000015,0.041,0.04,0.03
8,102.63,64.06000000000003,0.044,0.041,0.03
9,121.19,72.91999999999999,0.051,0.04,0.029
10,133.29000000000002,80.59,0.06,0.038,0.027
11,146.14,95.03,0.077,0.037,0.038
12,162.57,109.88000000000002,0.074,0.04,0.035
13,177.27999999999997,120.91,0.058,0.034,0.029
14,185.25,127.6,0.07,0.038,0.017
