temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.062,0.033,0.0
1,0.46999999999999886,-11.180000000000007,0.081,0.044,0.022
2,2.1799999999999784,-27.639999999999986,0.084,0.053,0.033
3,7.049999999999983,-63.19999999999999,0.085,0.046,0.07
4,8.370000000000005,-101.35000000000002,0.069,0.049,0.043
5,15.829999999999984,-118.01999999999998,0.047,0.052,0.035
6,20.019999999999982,-133.42000000000002,0.045,0.046,0.031
7,26.19999999999999,-147.69,0.044,0.044,0.03
8,31.629999999999995,-159.38,0.043,0.049,0.024
9,33.49000000000001,-166.7,0.044,0.048,0.015
