temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.054,0.028,0.0
1,-1.3799999999999955,-16.16999999999996,0.064,0.038,0.032
2,-0.8999999999999773,-42.97999999999996,0.081,0.04,0.052
3,-0.7299999999999613,-69.25999999999999,0.059,0.047,0.03
4,0.9800000000000182,-80.70999999999998,0.047,0.048,0.023
5,2.2600000000000477,-93.57999999999998,0.056,0.058,0.026
6,2.8700000000000045,-101.81,0.048,0.048,0.016
7,3.160000000000025,-113.78999999999996,0.046,0.048,0.024
8,4.470000000000027,-123.78999999999996,0.045,0.051,0.02
9,7.07000000000005,-134.95999999999998,0.04,0.041,0.023
10,7.1200000000000045,-146.45,0.044,0.046,0.023
11,8.550000000000011,-154.45999999999998,0.049,0.043,0.016
12,9.5,-160.85999999999999,0.058,0.045,0.013
13,51.5,-362.95,0.096,0.021,0.0
14,52.80000000000001,-361.59,0.071,0.028,0.0
15,46.18000000000001,-359.60999999999996,0.093,0.029,0.009
