temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.073,0.029,0.0
1,1.1499999999999773,-12.159999999999968,0.071,0.04,0.024
2,0.9099999999999682,-30.899999999999977,0.074,0.042,0.037
3,2.0600000000000023,-51.55000000000001,0.06,0.042,0.025
4,5.189999999999998,-65.57999999999998,0.042,0.045,0.026
5,7.729999999999961,-78.10999999999996,0.042,0.046,0.025
6,10.639999999999986,-91.58999999999997,0.04,0.046,0.027
7,12.849999999999966,-103.22999999999996,0.042,0.045,0.023
8,13.449999999999989,-114.63999999999999,0.048,0.049,0.023
9,15.870000000000005,-125.90999999999997,0.045,0.044,0.023
10,19.409999999999968,-138.61999999999998,0.07,0.043,0.037
11,19.349999999999966,-148.19,0.078,0.042,0.029
12,41.75999999999999,-347.27,0.091,0.026,0.0
13,20.66999999999996,-160.14999999999998,0.102,0.044,0.024
14,47.19999999999999,-348.93,0.057,0.024,0.0
