temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.872,0.597,0.0
1,-4.830000000000041,-2.5599999999999996,0.942,0.603,0.0
2,-122.12,12.55,0.055,0.02,0.0
3,-283.81000000000006,243.89000000000001,0.027,0.023,0.0
4,-263.06000000000006,253.63,0.041,0.03,0.032
5,-245.02000000000004,269.08,0.036,0.036,0.038
6,-219.87,285.83,0.038,0.043,0.046
7,-197.41000000000003,299.25,0.043,0.042,0.039
8,-179.83000000000004,308.82,0.051,0.049,0.029
9,-161.61,320.7,0.054,0.046,0.041
10,-142.92000000000002,333.64,0.065,0.04,0.043
11,-126.37,346.25,0.075,0.045,0.033
12,-110.76000000000005,360.71,0.083,0.044,0.035
13,-98.02000000000004,375.2,0.087,0.046,0.033
14,-84.51000000000005,385.24,0.083,0.042,0.026
15,-78.08000000000004,390.75,0.086,0.045,0.014
