temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.935,0.661,0.0
1,-176.57000000000005,252.9,0.07,0.024,0.0
2,-186.63000000000005,268.79999999999995,0.093,0.041,0.032
3,-196.75000000000006,282.66999999999996,0.08,0.044,0.017
4,-210.03000000000003,290.21,0.051,0.044,0.022
5,-225.26000000000005,298.21999999999997,0.038,0.044,0.025
6,-240.87000000000006,304.96999999999997,0.045,0.042,0.024
7,-254.93000000000006,312.33,0.044,0.043,0.023
8,-273.62000000000006,321.83,0.045,0.041,0.03
9,-287.50000000000006,327.52,0.063,0.048,0.022
10,-301.00000000000006,340.46999999999997,0.068,0.041,0.037
11,-314.69000000000005,352.78,0.073,0.042,0.031
12,-328.02000000000004,365.44,0.086,0.044,0.034
13,-340.9000000000001,377.69,0.102,0.047,0.037
14,-349.43000000000006,388.15,0.108,0.048,0.023
