temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.032,0.024,0.0
1,-0.40999999999996817,5.730000000000018,0.029,0.028,0.011
2,-0.21999999999997044,12.54000000000002,0.031,0.032,0.014
3,-0.38999999999998636,18.27000000000004,0.034,0.035,0.011
4,-2.4399999999999977,25.52000000000004,0.037,0.037,0.015
5,-3.599999999999966,33.85000000000002,0.035,0.035,0.017
6,-2.4499999999999886,42.33000000000004,0.035,0.035,0.017
7,-3.6100000000000136,49.77000000000004,0.038,0.041,0.015
8,-3.9599999999999795,56.30000000000001,0.036,0.038,0.013
9,-4.329999999999984,69.27000000000004,0.044,0.032,0.043
10,-4.680000000000007,82.81,0.061,0.035,0.032
11,-2.759999999999991,98.5,0.067,0.037,0.031
12,-2.5,112.49000000000001,0.066,0.037,0.028
13,-2.2199999999999704,126.96000000000004,0.066,0.035,0.029
14,-1.670000000000016,140.82000000000005,0.073,0.04,0.028
15,-0.9399999999999977,154.81,0.067,0.039,0.028
16,-1.9300000000000068,169.42000000000002,0.067,0.04,0.029
17,-1.9699999999999704,181.25,0.071,0.038,0.024
18,-1.329999999999984,192.40000000000003,0.069,0.038,0.022
19,-2.0,201.57000000000005,0.068,0.035,0.018
