temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.095,0.035,0.0
1,20.409999999999997,-22.150000000000034,0.082,0.034,0.037
2,40.839999999999975,-37.33000000000004,0.056,0.027,0.038
3,64.66,-50.56,0.055,0.026,0.038
4,91.22999999999996,-71.0,0.056,0.029,0.047
5,133.12,-91.62,0.038,0.031,0.062
6,161.03999999999996,-101.75,0.034,0.037,0.041
7,201.02999999999997,-131.40000000000003,0.096,0.03,0.099
8,222.88,-161.64000000000001,0.097,0.031,0.047
9,253.72999999999996,-183.54000000000002,0.06,0.033,0.057
10,265.39,-192.32000000000002,0.061,0.028,0.023
11,271.99,-197.34000000000003,0.064,0.036,0.013
