temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.051,0.026,0.0
1,-7.5400000000000205,-9.019999999999982,0.06,0.036,0.02
2,-23.980000000000018,-23.680000000000007,0.054,0.041,0.028
3,-51.81,-39.49000000000001,0.042,0.043,0.047
4,-81.24000000000001,-60.25999999999999,0.043,0.045,0.055
5,-110.65,-81.88,0.042,0.046,0.057
6,-132.50000000000003,-100.64000000000001,0.041,0.044,0.046
7,-119.61000000000001,-172.78,0.094,0.017,0.0
8,-148.76000000000002,-114.63,0.042,0.049,0.036
9,-122.99000000000001,-206.14000000000001,0.337,0.026,0.24
