temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.085,0.031,0.0
1,8.48999999999998,-11.129999999999995,0.081,0.033,0.025
2,23.75,-27.180000000000007,0.083,0.037,0.033
3,44.45999999999998,-44.589999999999975,0.082,0.037,0.035
4,81.32999999999998,-59.73000000000002,0.053,0.025,0.053
5,116.10999999999999,-76.81,0.038,0.03,0.05
6,140.18999999999997,-84.57,0.038,0.036,0.034
7,173.50999999999996,-95.92000000000002,0.032,0.034,0.058
8,212.6,-127.69999999999999,0.098,0.03,0.094
9,228.29,-150.64000000000001,0.084,0.031,0.04
10,249.04,-172.1,0.06,0.032,0.045
11,270.58000000000004,-189.6,0.066,0.038,0.043
12,312.18999999999994,-330.95,0.133,0.037,0.0
13,331.24,-325.21000000000004,0.097,0.024,0.025
