temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.023,0.023,0.0
1,-3.8700000000000045,11.939999999999998,0.028,0.03,0.024
2,-7.199999999999989,28.680000000000007,0.025,0.026,0.046
3,-9.819999999999993,48.06,0.046,0.024,0.054
4,-9.72999999999999,65.69999999999999,0.061,0.03,0.035
5,-7.099999999999994,85.77999999999997,0.052,0.03,0.041
6,-7.269999999999982,104.61000000000001,0.06,0.036,0.038
7,-7.25,121.82999999999998,0.059,0.035,0.034
8,-6.560000000000002,132.59999999999997,0.054,0.033,0.022
9,-6.530000000000001,147.0,0.059,0.032,0.029
10,-7.8700000000000045,157.71999999999997,0.059,0.032,0.022
