temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.953,0.577,0.0
1,-155.32000000000005,250.83,0.061,0.024,0.0
2,-155.60000000000002,259.09000000000003,0.071,0.034,0.01
3,-157.96000000000004,269.69,0.064,0.044,0.021
4,-161.52000000000004,280.94,0.049,0.051,0.023
5,-162.47000000000003,290.84000000000003,0.049,0.055,0.02
6,-165.31,302.22,0.051,0.055,0.023
7,-170.25,313.22,0.049,0.054,0.023
8,-172.01000000000005,325.85,0.063,0.053,0.035
9,-174.26000000000005,342.99,0.073,0.046,0.045
10,-175.88,364.33,0.09,0.045,0.043
11,-178.44,382.29,0.076,0.044,0.036
12,-180.07000000000005,398.61,0.092,0.043,0.033
13,-180.27000000000004,406.98,0.087,0.048,0.017
14,14.779999999999973,3.8600000000000003,0.918,0.595,0.0
