temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.049,0.023,0.0
1,-1.2099999999999795,-8.409999999999968,0.05,0.024,0.017
2,0.8799999999999955,-62.56,0.049,0.021,0.0
3,-1.1499999999999773,-80.90999999999997,0.055,0.025,0.034
4,-2.0,-101.22999999999996,0.033,0.024,0.027
5,-1.2900000000000205,-114.91999999999996,0.027,0.03,0.027
6,-0.7400000000000091,-127.90999999999997,0.026,0.025,0.026
7,1.3799999999999955,-139.71999999999997,0.032,0.027,0.024
8,3.6999999999999886,-148.38,0.026,0.02,0.018
9,2.509999999999991,-156.60999999999996,0.021,0.022,0.017
10,2.759999999999991,-163.53999999999996,0.025,0.024,0.014
