temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.066,0.026,0.0
1,12.449999999999989,-13.410000000000025,0.061,0.024,0.031
2,153.07999999999998,-135.09000000000003,0.02,0.019,0.0
3,179.16000000000003,-146.73000000000002,0.028,0.026,0.04
4,202.3,-157.39000000000004,0.027,0.027,0.039
5,217.23000000000002,-163.56,0.047,0.03,0.032
6,226.52999999999997,-165.92000000000002,0.049,0.024,0.019
7,2.180000000000007,12.71999999999997,0.069,0.031,0.0
8,10.980000000000004,0.67999999999995,0.074,0.028,0.026
9,22.370000000000005,-12.600000000000023,0.079,0.031,0.03
10,45.75999999999999,-42.01000000000005,0.066,0.029,0.066
11,70.19999999999999,-74.06,0.069,0.028,0.062
12,94.32,-102.75,0.048,0.026,0.045
13,119.75999999999999,-119.24000000000001,0.035,0.022,0.039
14,146.52999999999997,-131.79000000000002,0.023,0.023,0.042
15,173.12,-143.98000000000002,0.026,0.027,0.041
16,187.52999999999997,-149.0,0.031,0.031,0.021
17,198.7,-156.47000000000003,0.03,0.032,0.02
18,209.07,-159.85000000000002,0.032,0.032,0.015
19,218.93,-164.29000000000002,0.047,0.032,0.022
20,225.82,-167.17000000000002,0.06,0.03,0.016
