temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.029,0.024,0.0
1,-1.3799999999999955,10.569999999999993,0.033,0.032,0.021
2,-4.730000000000018,21.370000000000005,0.038,0.041,0.022
3,-6.140000000000043,46.06,0.066,0.037,0.068
4,-5.090000000000032,69.95999999999998,0.069,0.036,0.048
5,-5.0400000000000205,90.55000000000001,0.067,0.038,0.042
6,-5.220000000000027,110.42000000000002,0.069,0.038,0.04
7,-5.430000000000007,127.65999999999997,0.068,0.04,0.034
8,-6.1299999999999955,138.70999999999998,0.071,0.041,0.022
9,-6.1200000000000045,147.95,0.068,0.042,0.018
