temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.041,0.02,0.0
1,-15.0,-9.850000000000023,0.04,0.021,0.027
2,-36.74000000000001,-25.090000000000032,0.04,0.022,0.031
3,-57.01000000000002,-35.27000000000004,0.03,0.029,0.032
4,-79.49000000000001,-47.47000000000003,0.032,0.027,0.042
5,-100.24000000000001,-55.56,0.028,0.036,0.037
6,-126.21000000000001,-64.99000000000001,0.041,0.037,0.036
7,-145.62,-73.41000000000003,0.051,0.033,0.025
8,-158.13,-78.59000000000003,0.041,0.031,0.017
9,-171.46,-81.04000000000002,0.05,0.024,0.017
10,-178.0,-82.86000000000001,0.049,0.021,0.009
