temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.059,0.023,0.0
1,16.150000000000006,-16.340000000000032,0.065,0.027,0.037
2,40.91,-38.54000000000002,0.071,0.037,0.04
3,79.73000000000002,-56.360000000000014,0.039,0.033,0.055
4,116.50000000000003,-66.26999999999998,0.033,0.035,0.05
5,145.17,-75.35000000000002,0.038,0.036,0.04
6,180.58,-85.59000000000003,0.061,0.037,0.077
7,204.70000000000002,-108.94999999999999,0.106,0.034,0.064
8,225.18000000000004,-135.28,0.099,0.033,0.045
9,239.23,-148.17000000000002,0.081,0.038,0.027
10,245.29999999999998,-155.20000000000002,0.101,0.041,0.016
