temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.061,0.032,0.0
1,-14.199999999999989,0.3199999999999932,0.066,0.034,0.018
2,-44.799999999999955,0.29000000000002046,0.065,0.035,0.038
3,-81.69,0.5299999999999727,0.067,0.034,0.046
4,-119.15999999999997,-2.0600000000000023,0.06,0.035,0.047
5,-140.90999999999997,-3.589999999999975,0.057,0.037,0.027
6,-165.25999999999996,-6.2900000000000205,0.054,0.037,0.031
7,-185.17999999999998,-8.220000000000027,0.059,0.037,0.026
8,-206.82999999999998,-10.259999999999991,0.078,0.045,0.031
9,-223.62999999999997,-3.2900000000000205,0.095,0.046,0.025
10,-242.81999999999996,1.75,0.098,0.043,0.026
11,-259.05999999999995,6.319999999999993,0.11,0.049,0.022
12,-270.7,10.230000000000018,0.105,0.044,0.017
