temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.02,0.0
1,-8.269999999999982,-5.350000000000023,0.044,0.026,0.015
2,-27.75,-18.410000000000025,0.05,0.026,0.036
3,-50.46999999999997,-37.110000000000014,0.054,0.023,0.047
4,-75.21999999999997,-54.55000000000001,0.048,0.03,0.038
5,-102.24999999999997,-69.15000000000003,0.03,0.033,0.05
6,-132.42999999999998,-80.22000000000003,0.045,0.041,0.039
7,-158.76999999999998,-86.43,0.057,0.033,0.033
8,-179.26999999999998,-91.29000000000002,0.067,0.03,0.027
9,-196.41999999999996,-95.94000000000005,0.062,0.024,0.023
10,-213.78999999999996,-99.08000000000004,0.059,0.022,0.023
11,-229.48999999999998,-100.14000000000004,0.056,0.025,0.02
