temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.046,0.021,0.0
1,1.4399999999999977,-8.629999999999995,0.046,0.019,0.017
2,0.7799999999999727,-23.5,0.046,0.027,0.029
3,0.46999999999997044,-55.49000000000001,0.058,0.025,0.056
4,-0.4000000000000341,-70.64999999999998,0.051,0.027,0.024
5,0.8699999999999477,-82.82,0.043,0.03,0.017
6,1.7199999999999704,-91.69,0.032,0.032,0.018
7,2.6199999999999477,-99.23000000000002,0.031,0.032,0.015
8,4.42999999999995,-114.04000000000002,0.028,0.032,0.03
9,5.349999999999966,-120.12,0.037,0.033,0.012
10,6.5,-124.95999999999998,0.03,0.03,0.01
11,6.6299999999999955,-130.74,0.031,0.034,0.012
12,6.169999999999959,-136.01999999999998,0.029,0.034,0.011
