temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.041,0.019,0.0
1,-19.170000000000016,-3.4700000000000273,0.056,0.028,0.025
2,-35.849999999999966,-4.460000000000036,0.061,0.033,0.021
3,-60.49000000000001,-5.310000000000002,0.06,0.031,0.031
4,-88.93,-5.4500000000000455,0.058,0.031,0.036
5,-116.23000000000002,-6.940000000000055,0.064,0.03,0.034
6,-145.26,-5.3700000000000045,0.055,0.03,0.037
7,-176.45,-9.190000000000055,0.064,0.034,0.043
8,-207.54,-5.110000000000014,0.084,0.039,0.045
9,-239.63,4.819999999999993,0.089,0.038,0.045
10,-261.32,11.079999999999984,0.087,0.039,0.03
11,-271.39,14.509999999999991,0.097,0.041,0.014
