temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.063,0.026,0.0
1,16.42,-20.79000000000002,0.068,0.03,0.0
2,24.64,-33.19999999999999,0.073,0.025,0.027
3,51.41000000000001,-67.29000000000002,0.072,0.028,0.076
4,67.42,-86.5,0.077,0.033,0.043
5,86.42,-109.23000000000002,0.063,0.029,0.035
6,99.92,-122.27999999999997,0.044,0.028,0.022
7,114.14999999999999,-128.94,0.03,0.026,0.022
8,131.51,-138.0,0.029,0.031,0.028
9,143.04000000000002,-142.97000000000003,0.028,0.024,0.018
10,155.29000000000002,-150.39,0.026,0.028,0.021
11,170.61,-156.55,0.033,0.023,0.023
12,180.69,-163.37,0.03,0.033,0.019
13,189.59000000000003,-167.20999999999998,0.035,0.031,0.014
14,199.24,-172.07,0.034,0.034,0.015
15,207.28000000000003,-175.45999999999998,0.029,0.024,0.012
