temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.026,0.038,0.0
1,25.77000000000001,11.690000000000026,0.041,0.051,0.038
2,56.110000000000014,29.539999999999992,0.037,0.036,0.046
3,79.11000000000001,42.29999999999998,0.038,0.035,0.038
4,100.44,57.91,0.034,0.038,0.041
5,120.15000000000003,72.91999999999999,0.039,0.04,0.048
6,140.7,90.49999999999997,0.066,0.039,0.056
7,163.69,109.84,0.073,0.035,0.048
8,181.06,129.08,0.064,0.035,0.044
9,191.84000000000003,142.32000000000002,0.068,0.034,0.03
10,198.51,145.42,0.087,0.039,0.01
