temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.039,0.019,0.0
1,-3.2700000000000387,-15.520000000000039,0.062,0.033,0.031
2,-19.640000000000043,-29.950000000000045,0.073,0.036,0.035
3,-44.68000000000001,-53.39000000000004,0.066,0.045,0.04
4,-74.67000000000002,-70.59000000000003,0.039,0.045,0.05
5,-106.58000000000001,-86.47000000000003,0.038,0.038,0.057
6,-146.61,-105.62,0.033,0.052,0.072
7,-184.95000000000002,-123.45000000000005,0.039,0.051,0.06
8,-211.84000000000003,-137.01000000000002,0.051,0.048,0.043
9,-235.78000000000003,-147.58000000000004,0.056,0.046,0.03
