temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.047,0.018,0.0
1,-10.0,-5.099999999999966,0.049,0.027,0.016
2,-31.30000000000001,-23.00999999999999,0.07,0.031,0.045
3,-59.56999999999999,-42.5,0.062,0.034,0.047
4,-88.67000000000002,-58.19,0.044,0.041,0.042
5,-114.41,-67.98000000000002,0.04,0.039,0.038
6,-139.21,-77.76999999999998,0.038,0.043,0.044
7,-169.93,-90.05000000000001,0.045,0.057,0.051
8,-204.21,-101.62,0.059,0.044,0.039
9,-228.46,-106.07,0.057,0.032,0.03
10,-247.41,-110.62,0.072,0.033,0.025
11,-261.77,-116.38,0.077,0.032,0.021
