temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.021,0.021,0.0
1,-0.5999999999999659,13.339999999999975,0.03,0.03,0.027
2,-3.240000000000009,25.279999999999973,0.031,0.033,0.024
3,-3.269999999999982,35.95999999999998,0.032,0.031,0.021
4,-3.849999999999966,44.139999999999986,0.034,0.033,0.016
5,-5.159999999999968,51.44999999999999,0.03,0.034,0.015
6,-6.509999999999991,58.839999999999975,0.033,0.032,0.016
7,-6.96999999999997,66.35999999999996,0.041,0.03,0.026
8,-4.649999999999977,78.19999999999999,0.058,0.03,0.024
9,-4.409999999999968,93.81,0.058,0.031,0.031
10,-2.9399999999999977,101.76999999999998,0.062,0.032,0.016
11,-3.319999999999993,116.88,0.064,0.033,0.03
12,-1.829999999999984,127.94999999999999,0.068,0.038,0.022
13,-2.609999999999957,138.09999999999997,0.062,0.035,0.02
14,-0.5699999999999932,147.24,0.065,0.034,0.018
