temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.059,0.019,0.0
1,-18.75,21.139999999999986,0.042,0.029,0.032
2,-43.55000000000001,33.71999999999997,0.03,0.029,0.04
3,-68.33000000000004,45.66999999999996,0.033,0.035,0.039
4,-93.21000000000004,57.75999999999999,0.034,0.03,0.044
5,-116.21000000000001,73.32,0.056,0.031,0.053
6,-137.55,89.63999999999999,0.069,0.035,0.048
7,-158.67000000000002,110.25999999999999,0.084,0.038,0.064
8,-179.56000000000003,135.46999999999997,0.087,0.037,0.057
9,-200.62000000000003,160.95999999999998,0.09,0.038,0.058
10,-216.13000000000002,179.83999999999997,0.092,0.043,0.043
11,-231.70000000000002,197.05,0.089,0.044,0.04
12,-242.60000000000002,208.36,0.082,0.042,0.026
